Title,Genre,Director,Year,Runtime (Minutes),Revenue (Millions)
The Perks of Being a Wallflower,Drama;Romance,Stephen Chbosky,2012,102,17.74
The Place Beyond the Pines,Crime;Drama;Thriller,Derek Cianfrance,2012,140,21.38
The Prestige,Drama;Mystery;Sci-Fi,Christopher Nolan,2006,130,53.08
The Princess and the Frog,Animation;Adventure;Comedy,Ron Clements,2009,97,104.37
The Proposal,Comedy;Drama;Romance,Anne Fletcher,2009,108,163.95
The Purge,Horror;Sci-Fi;Thriller,James DeMonaco,2013,85,64.42
The Purge: Election Year,Action;Horror;Sci-Fi,James DeMonaco,2016,109,79
The Pursuit of Happyness,Biography;Drama,Gabriele Muccino,2006,117,162.59
The Revenant,Adventure;Drama;Thriller,Alejandro Inarritu,2015,156,183.64
The Rise of the Krays,Crime;Drama,Zackary Adler,2015,110,6.53
The Road,Adventure;Drama,John Hillcoat,2009,111,0.06
The Sea of Trees,Drama,Gus Van Sant,2015,110,0.02
The Secret Life of Pets,Animation;Adventure;Comedy,Chris Renaud,2016,87,368.31
The Secret Life of Walter Mitty,Adventure;Comedy;Drama,Ben Stiller,2013,114,58.23
The Shallows,Drama;Horror;Thriller,Jaume Collet-Serra,2016,86,55.12
The Skin I Live In,Drama;Thriller,Pedro Almodovar,2011,120,3.19
The Social Network,Biography;Drama,David Fincher,2010,120,96.92
The Spectacular Now,Comedy;Drama;Romance,James Ponsoldt,2013,95,6.85
The Stanford Prison Experiment,Biography;Drama;History,Kyle Patrick Alvarez,2015,122,0.64
The Strangers,Horror;Mystery;Thriller,Bryan Bertino,2008,86,52.53
The Theory of Everything,Biography;Drama;Romance,James Marsh,2014,123,35.89
The Three Musketeers,Action;Adventure;Romance,Paul W.S. Anderson,2011,110,20.32
The Town,Crime;Drama;Thriller,Ben Affleck,2010,125,92.17
The Tree of Life,Drama;Fantasy,Terrence Malick,2011,139,13.3
The Twilight Saga: Breaking Dawn - Part 1,Adventure;Drama;Fantasy,Bill Condon,2011,117,281.28
The Twilight Saga: Breaking Dawn - Part 2,Adventure;Drama;Fantasy,Bill Condon,2012,115,292.3
The Twilight Saga: Eclipse,Adventure;Drama;Fantasy,David Slade,2010,124,300.52
The Ugly Truth,Comedy;Romance,Robert Luketic,2009,96,88.92
The Visit,Comedy;Horror;Thriller,M. Night Shyamalan,2015,94,65.07
The Void,Horror;Mystery;Sci-Fi,Jeremy Gillespie,2016,90,0.15
The VVitch: A New-England Folktale,Horror;Mystery,Robert Eggers,2015,92,25.14
The Walk,Adventure;Biography;Crime,Robert Zemeckis,2015,123,10.14
The Wolf of Wall Street,Biography;Comedy;Crime,Martin Scorsese,2013,180,116.87
The Wolverine,Action;Adventure;Sci-Fi,James Mangold,2013,126,132.55
The World's End,Action;Comedy;Sci-Fi,Edgar Wright,2013,109,26
Their Finest,Comedy;Drama;Romance,Lone Scherfig,2016,117,3.18
There Will Be Blood,Drama;History,Paul Thomas Anderson,2007,158,40.22
This Is 40,Comedy;Romance,Judd Apatow,2012,134,67.52
This Is the End,Comedy;Fantasy,Evan Goldberg,2013,107,101.47
This Means War,Action;Comedy;Romance,McG,2012,103,54.76
Thor,Action;Adventure;Fantasy,Kenneth Branagh,2011,115,181.02
Thor: The Dark World,Action;Adventure;Fantasy,Alan Taylor,2013,112,206.36
Tinker Tailor Soldier Spy,Drama;Mystery;Thriller,Tomas Alfredson,2011,122,24.1
To Rome with Love,Comedy;Romance,Woody Allen,2012,112,16.68
Tomorrowland,Action;Adventure;Family,Brad Bird,2015,130,93.42
Toni Erdmann,Comedy;Drama,Maren Ade,2016,162,1.48
Total Recall,Action;Adventure;Mystery,Len Wiseman,2012,118,58.88
Toy Story 3,Animation;Adventure;Comedy,Lee Unkrich,2010,103,414.98
Trainwreck,Comedy;Drama;Romance,Judd Apatow,2015,125,110.01
Trance,Crime;Drama;Mystery,Danny Boyle,2013,101,2.32
Transcendence,Drama;Mystery;Romance,Wally Pfister,2014,119,23.01
Transformers,Action;Adventure;Sci-Fi,Michael Bay,2007,144,318.76
Transformers: Age of Extinction,Action;Adventure;Sci-Fi,Michael Bay,2014,165,245.43
Transformers: Dark of the Moon,Action;Adventure;Sci-Fi,Michael Bay,2011,154,352.36
Transformers: Revenge of the Fallen,Action;Adventure;Sci-Fi,Michael Bay,2009,150,402.08
Triple 9,Action;Crime;Drama,John Hillcoat,2016,115,12.63
Trolls,Animation;Adventure;Comedy,Walt Dohrn,2016,92,153.69
Tron,Action;Adventure;Sci-Fi,Joseph Kosinski,2010,125,172.05
Tropic Thunder,Action;Comedy,Ben Stiller,2008,107,110.42
True Grit,Adventure;Drama;Western,Ethan Coen,2010,110,171.03
Trust,Crime;Drama;Thriller,David Schwimmer,2010,106,0.06
Turbo Kid,Action;Adventure;Comedy,François Simard,2015,93,0.05
Tusk,Comedy;Drama;Horror,Kevin Smith,2014,102,1.82
Twilight,Drama;Fantasy;Romance,Catherine Hardwicke,2008,122,191.45
Unbroken,Biography;Drama;Sport,Angelina Jolie,2014,137,115.6
Under the Skin,Drama;Horror;Sci-Fi,Jonathan Glazer,2013,108,2.61
Underworld Awakening,Action;Fantasy;Horror,Mans Marlind,2012,88,62.32
Underworld: Blood Wars,Action;Adventure;Fantasy,Anna Foerster,2016,91,30.35
Underworld: Rise of the Lycans,Action;Adventure;Fantasy,Patrick Tatopoulos,2009,92,45.8
Unfriended,Drama;Horror;Mystery,Levan Gabriadze,2014,83,31.54
Unknown,Action;Mystery;Thriller,Jaume Collet-Serra,2011,113,61.09
Unstoppable,Action;Thriller,Tony Scott,2010,98,81.56
Up,Animation;Adventure;Comedy,Pete Docter,2009,96,292.98
Up in the Air,Drama;Romance,Jason Reitman,2009,109,83.81
Vacation,Adventure;Comedy,John Francis Daley,2015,99,58.88
Vampire Academy,Action;Comedy;Fantasy,Mark Waters,2014,104,7.79
Vicky Cristina Barcelona,Drama;Romance,Woody Allen,2008,96,23.21
Victor Frankenstein,Drama;Horror;Sci-Fi,Paul McGuigan,2015,110,5.77
Viking,Action;Drama;History,Andrey Kravchuk,2016,133,23.05
Wakefield,Drama,Robin Swicord,2016,106,0.01
WALL·E,Animation;Adventure;Family,Andrew Stanton,2008,98,223.81
Wanted,Action;Crime;Fantasy,Timur Bekmambetov,2008,110,134.57
War Dogs,Comedy;Crime;Drama,Todd Phillips,2016,114,43.02
Warcraft,Action;Adventure;Fantasy,Duncan Jones,2016,123,47.17
Warm Bodies,Comedy;Horror;Romance,Jonathan Levine,2013,98,66.36
Warrior,Action;Drama;Sport,Gavin O'Connor,2011,140,13.65
Watchmen,Action;Drama;Mystery,Zack Snyder,2009,162,107.5
We Are Your Friends,Drama;Music;Romance,Max Joseph,2015,96,3.59
We Need to Talk About Kevin,Drama;Mystery;Thriller,Lynne Ramsay,2011,112,1.74
We're the Millers,Comedy;Crime,Rawson Marshall Thurber,2013,110,150.37
What If,Comedy;Romance,Michael Dowse,2013,98,3.45
What to Expect When You're Expecting,Comedy;Drama;Romance,Kirk Jones,2012,110,41.1
What We Do in the Shadows,Comedy;Fantasy;Horror,Jemaine Clement,2014,86,3.33
What's Your Number?,Comedy;Romance,Mark Mylod,2011,106,13.99
Whiplash,Drama;Music,Damien Chazelle,2014,107,13.09
White Girl,Drama,Elizabeth Wood,2016,88,0.2
White House Down,Action;Drama;Thriller,Roland Emmerich,2013,131,73.1
Why Him?,Comedy,John Hamburg,2016,111,60.31
Wild,Adventure;Biography;Drama,Jean-Marc Vallee,2014,115,37.88
Woman in Gold,Biography;Drama;History,Simon Curtis,2015,109,33.31
World War Z,Action;Adventure;Horror,Marc Forster,2013,116,202.35
Wrath of the Titans,Action;Adventure;Fantasy,Jonathan Liebesman,2012,99,83.64
Wreck-It Ralph,Animation;Adventure;Comedy,Rich Moore,2012,101,189.41
X-Men Origins: Wolverine,Action;Adventure;Sci-Fi,Gavin Hood,2009,107,179.88
X-Men: Apocalypse,Action;Adventure;Sci-Fi,Bryan Singer,2016,144,155.33
X-Men: Days of Future Past,Action;Adventure;Sci-Fi,Bryan Singer,2014,132,233.91
X-Men: The Last Stand,Action;Adventure;Fantasy,Brett Ratner,2006,104,234.36
X: First Class,Action;Adventure;Sci-Fi,Matthew Vaughn,2011,132,146.41
You Don't Mess with the Zohan,Action;Comedy,Dennis Dugan,2008,113,100.02
Your Highness,Adventure;Comedy;Fantasy,David Gordon Green,2011,102,21.56
Youth,Comedy;Drama;Music,Paolo Sorrentino,2015,124,2.7
Zack and Miri Make a Porno,Comedy;Romance,Kevin Smith,2008,101,31.45
Zero Dark Thirty,Drama;History;Thriller,Kathryn Bigelow,2012,157,95.72
Zodiac,Crime;Drama;History,David Fincher,2007,157,33.05
Zombieland,Adventure;Comedy;Horror,Ruben Fleischer,2009,88,75.59
Zoolander 2,Comedy,Ben Stiller,2016,102,28.84
Zootopia,Animation;Adventure;Comedy,Byron Howard,2016,108,341.26
